id_pedido,fecha_entrega,transportista,status_envio
1000,2025-02-07,Moto,DEVUELTO
1001,2025-08-31,Correo Argentino,DEVUELTO
1002,2025-05-04,Andreani,ENTREGADO
1003,2025-05-27,Correo Argentino,ENTREGADO
1004,2025-05-18,Moto,ENTREGADO
1005,2025-10-01,Andreani,EN CAMINO
1006,2025-06-21,Correo Argentino,DEVUELTO
1007,2025-05-11,Andreani,EN CAMINO
1008,2025-07-16,Andreani,EN CAMINO
1009,2025-08-02,Moto,ENTREGADO
1010,2025-02-25,Ocasa,ENTREGADO
1011,2025-05-08,Moto,ENTREGADO
1012,2025-04-02,Moto,ENTREGADO
1013,2025-07-20,Ocasa,EN CAMINO
1014,2025-11-13,Ocasa,ENTREGADO
1015,2025-12-06,Andreani,DEVUELTO
1016,2025-02-18,Correo Argentino,ENTREGADO
1017,2025-01-29,Ocasa,ENTREGADO
1018,2026-01-02,Moto,EN CAMINO
1019,2025-01-30,Andreani,ENTREGADO
1020,2025-08-23,Ocasa,ENTREGADO
1021,2025-11-26,Ocasa,ENTREGADO
1022,2025-03-11,Correo Argentino,DEVUELTO
1023,2025-02-03,Andreani,ENTREGADO
1024,2025-11-21,Andreani,ENTREGADO
1025,2025-08-16,Moto,ENTREGADO
1026,2025-11-11,Moto,EN CAMINO
1027,2025-05-18,Moto,DEVUELTO
1028,2025-05-12,Correo Argentino,ENTREGADO
1029,2025-10-22,Ocasa,EN CAMINO
1030,2025-02-04,Correo Argentino,ENTREGADO
1031,2025-10-11,Andreani,ENTREGADO
1032,2025-06-02,Moto,EN CAMINO
1034,2025-12-26,Moto,ENTREGADO
1035,2025-09-25,Moto,ENTREGADO
1036,2025-05-08,Moto,ENTREGADO
1037,2025-12-12,Ocasa,DEVUELTO
1038,2025-12-23,Ocasa,DEVUELTO
1039,2025-04-25,Moto,ENTREGADO
1040,2025-07-20,Andreani,ENTREGADO
1041,2025-09-21,Correo Argentino,ENTREGADO
1042,2025-10-20,Ocasa,ENTREGADO
1043,2025-02-08,Andreani,ENTREGADO
1044,2025-08-08,Moto,ENTREGADO
1045,2025-07-22,Ocasa,ENTREGADO
1046,2025-09-23,Ocasa,ENTREGADO
1047,2025-03-25,Ocasa,ENTREGADO
1048,2025-02-13,Andreani,DEVUELTO
1049,2025-12-02,Correo Argentino,DEVUELTO
1050,2025-07-27,Moto,ENTREGADO
1051,2025-04-18,Moto,ENTREGADO
1052,2025-03-23,Moto,EN CAMINO
1053,2025-10-05,Correo Argentino,ENTREGADO
1054,2025-08-02,Correo Argentino,DEVUELTO
1055,2025-03-11,Moto,EN CAMINO
1056,2025-10-28,Moto,ENTREGADO
1057,2025-02-02,Ocasa,EN CAMINO
1058,2025-03-11,Correo Argentino,ENTREGADO
1059,2025-10-13,Correo Argentino,ENTREGADO
1060,2025-08-31,Moto,ENTREGADO
1061,2025-04-22,Andreani,DEVUELTO
1062,2025-06-01,Ocasa,ENTREGADO
1063,2025-06-11,Ocasa,EN CAMINO
1064,2025-01-25,Ocasa,DEVUELTO
1065,2025-09-16,Correo Argentino,DEVUELTO
1066,2025-08-17,Andreani,ENTREGADO
1067,2025-05-15,Correo Argentino,EN CAMINO
1068,2025-11-18,Correo Argentino,ENTREGADO
1069,2025-10-18,Moto,ENTREGADO
1070,2025-12-20,Ocasa,DEVUELTO
1071,2025-04-16,Andreani,ENTREGADO
1072,2025-12-17,Ocasa,ENTREGADO
1073,2025-09-14,Ocasa,ENTREGADO
1074,2025-01-21,Andreani,DEVUELTO
1075,2025-07-17,Andreani,ENTREGADO
1076,2025-12-02,Andreani,ENTREGADO
1077,2025-12-08,Ocasa,ENTREGADO
1078,2025-11-10,Moto,ENTREGADO
1079,2025-01-12,Andreani,EN CAMINO
1080,2025-10-11,Andreani,ENTREGADO
1081,2025-10-10,Ocasa,DEVUELTO
1082,2025-02-01,Correo Argentino,DEVUELTO
1083,2025-06-30,Andreani,ENTREGADO
1084,2025-04-25,Andreani,ENTREGADO
1085,2025-04-02,Correo Argentino,ENTREGADO
1086,2025-03-23,Ocasa,DEVUELTO
1087,2025-07-20,Andreani,EN CAMINO
1088,2025-12-28,Andreani,ENTREGADO
1089,2025-02-21,Ocasa,ENTREGADO
1090,2025-06-11,Andreani,DEVUELTO
1091,2025-01-07,Ocasa,ENTREGADO
1092,2025-07-30,Moto,DEVUELTO
1093,2025-12-07,Ocasa,ENTREGADO
1094,2025-10-28,Correo Argentino,DEVUELTO
1095,2025-03-08,Correo Argentino,DEVUELTO
1096,2025-11-23,Correo Argentino,ENTREGADO
1097,2025-09-04,Ocasa,ENTREGADO
1098,2025-04-19,Andreani,ENTREGADO
1099,2025-09-11,Ocasa,ENTREGADO
1100,2025-10-24,Correo Argentino,EN CAMINO
1101,2025-09-04,Andreani,ENTREGADO
1103,2025-06-07,Correo Argentino,EN CAMINO
1104,2025-10-22,Moto,DEVUELTO
1105,2025-06-22,Andreani,ENTREGADO
1107,2025-10-21,Ocasa,EN CAMINO
1108,2025-11-01,Ocasa,ENTREGADO
1109,2025-05-06,Moto,ENTREGADO
1110,2025-08-29,Correo Argentino,ENTREGADO
1111,2025-05-18,Moto,ENTREGADO
1112,2025-03-16,Ocasa,EN CAMINO
1113,2025-12-25,Ocasa,ENTREGADO
1114,2025-02-05,Correo Argentino,EN CAMINO
1116,2025-12-26,Andreani,ENTREGADO
1117,2025-06-29,Moto,ENTREGADO
1118,2025-05-10,Moto,EN CAMINO
1119,2025-05-23,Correo Argentino,ENTREGADO
1120,2025-02-26,Andreani,DEVUELTO
1121,2025-01-31,Andreani,ENTREGADO
1122,2025-04-17,Ocasa,EN CAMINO
1123,2025-03-29,Ocasa,DEVUELTO
1124,2025-08-25,Ocasa,EN CAMINO
1125,2025-12-26,Ocasa,ENTREGADO
1126,2025-08-03,Correo Argentino,ENTREGADO
1127,2025-09-01,Ocasa,DEVUELTO
1128,2025-01-20,Ocasa,ENTREGADO
1129,2025-01-14,Ocasa,DEVUELTO
1130,2025-03-19,Ocasa,DEVUELTO
1131,2025-03-23,Correo Argentino,DEVUELTO
1132,2025-07-08,Ocasa,ENTREGADO
1133,2025-07-21,Andreani,ENTREGADO
1134,2025-09-08,Andreani,EN CAMINO
1135,2025-11-27,Ocasa,ENTREGADO
1136,2025-08-16,Ocasa,ENTREGADO
1137,2025-05-01,Andreani,DEVUELTO
1138,2025-03-27,Moto,DEVUELTO
1139,2025-06-09,Ocasa,ENTREGADO
1140,2025-05-15,Ocasa,EN CAMINO
1141,2025-09-09,Ocasa,DEVUELTO
1142,2025-08-01,Andreani,ENTREGADO
