id_pedido,fecha_entrega,transportista,status_envio
1000,07/02/2025,Moto,devuelto
1001,31/08/2025,Correo Argentino,devuelto
1002,04/05/2025,Andreani,ENTREGADO
1003,27/05/2025,Correo Argentino,ENTREGADO
1004 ,18/05/2025,Moto,Entregado
1005,01/10/2025,Andreani,en camino
1006,21/06/2025,Correo Argentino,devuelto
1007,11/05/2025,Andreani,en camino
1008.0,16/07/2025,Andreani,en camino
1009,02/08/2025,Moto,ENTREGADO
1010,25/02/2025,Ocasa,ENTREGADO
1011,08/05/2025,Moto,ENTREGADO
1012,02/04/2025,Moto,Entregado
1013,20/07/2025,Ocasa,en camino
1014,13/11/2025,Ocasa,Entregado
1015,06/12/2025,Andreani,devuelto
1016,18/02/2025,Correo Argentino,ENTREGADO
1017,29/01/2025,Ocasa,Entregado
1018,02/01/2026,Moto,en camino
1019,30/01/2025,Andreani,ENTREGADO
1020,23/08/2025,Ocasa,Entregado
1021,26/11/2025,Ocasa,ENTREGADO
1022,11/03/2025,Correo Argentino,devuelto
1023,03/02/2025,Andreani,ENTREGADO
1024,21/11/2025,Andreani,ENTREGADO
1025,16/08/2025,Moto,ENTREGADO
1026 ,11/11/2025,Moto,en camino
1027,18/05/2025,Moto,devuelto
1028,12/05/2025,Correo Argentino,ENTREGADO
1029,22/10/2025,Ocasa,en camino
1030,04/02/2025,Correo Argentino,Entregado
1031,11/10/2025,Andreani,ENTREGADO
1032,02/06/2025,Moto,en camino
1034,26/12/2025,Moto,Entregado
1035.0,25/09/2025,Moto,Entregado
1036,08/05/2025,Moto,ENTREGADO
1037,12/12/2025,Ocasa,devuelto
1038,23/12/2025,Ocasa,devuelto
1039 ,25/04/2025,Moto,ENTREGADO
1040,20/07/2025,Andreani,Entregado
1041,21/09/2025,Correo Argentino,Entregado
1042,20/10/2025,Ocasa,ENTREGADO
1043,08/02/2025,Andreani,Entregado
1044,08/08/2025,Moto,Entregado
1045,22/07/2025,Ocasa,ENTREGADO
1046,23/09/2025,Ocasa,ENTREGADO
ID-1047,25/03/2025,Ocasa,Entregado
1048,13/02/2025,Andreani,devuelto
1049,02/12/2025,Correo Argentino,devuelto
1050,27/07/2025,Moto,Entregado
1051,18/04/2025,Moto,Entregado
1052,23/03/2025,Moto,en camino
ID-1053 ,05/10/2025,Correo Argentino,ENTREGADO
ID-1054,02/08/2025,Correo Argentino,devuelto
1055,11/03/2025,Moto,en camino
1056,28/10/2025,Moto,Entregado
1057,02/02/2025,Ocasa,en camino
1058,11/03/2025,Correo Argentino,ENTREGADO
ID-1059,13/10/2025,Correo Argentino,ENTREGADO
1060,31/08/2025,Moto,Entregado
1061,22/04/2025,Andreani,devuelto
1062,01/06/2025,Ocasa,ENTREGADO
1063 ,11/06/2025,Ocasa,en camino
1064,25/01/2025,Ocasa,devuelto
1065,16/09/2025,Correo Argentino,devuelto
1066,17/08/2025,Andreani,ENTREGADO
1067,15/05/2025,Correo Argentino,en camino
1068,18/11/2025,Correo Argentino,Entregado
1069,18/10/2025,Moto,Entregado
1070.0 ,20/12/2025,Ocasa,devuelto
1071,16/04/2025,Andreani,ENTREGADO
1072,17/12/2025,Ocasa,Entregado
1073,14/09/2025,Ocasa,Entregado
1074,21/01/2025,Andreani,devuelto
1075,17/07/2025,Andreani,ENTREGADO
1076,02/12/2025,Andreani,Entregado
1077,08/12/2025,Ocasa,ENTREGADO
1078,10/11/2025,Moto,ENTREGADO
1079,12/01/2025,Andreani,en camino
1080,11/10/2025,Andreani,Entregado
1081,10/10/2025,Ocasa,devuelto
1082,01/02/2025,Correo Argentino,devuelto
1083,30/06/2025,Andreani,Entregado
1084,25/04/2025,Andreani,ENTREGADO
1085,02/04/2025,Correo Argentino,Entregado
1086,23/03/2025,Ocasa,devuelto
1087,20/07/2025,Andreani,en camino
1088,28/12/2025,Andreani,Entregado
1089,21/02/2025,Ocasa,Entregado
1090,11/06/2025,Andreani,devuelto
1091,07/01/2025,Ocasa,ENTREGADO
1092,30/07/2025,Moto,devuelto
1093,07/12/2025,Ocasa,ENTREGADO
1094,28/10/2025,Correo Argentino,devuelto
1095,08/03/2025,Correo Argentino,devuelto
1096,23/11/2025,Correo Argentino,ENTREGADO
1097,04/09/2025,Ocasa,Entregado
